카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명
청소기,다이슨 청소기,"다이슨 V8 앱솔루트 무선 청소기 풀구성, 거치대 포함 구로",거래중,"100,000원",도림동,2026-08-28,0,1,66,46.6℃,쌈마이웨이,생활가전,동부센트레빌 아파트,"다이슨 SV18 디지털 슬림 플러피 오렌지무선청소기입니다 
정상작동하며 제품에 이상없습니다
본체, 충전 거치대, 충전기, 틈새 노즐, 콤비 브러시, 플러피 클리너 헤드 등 구성품 모두 포함되어 있어요. 강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있답니다. 
작동시간은 딱히 재보진 않았지만 32평청소하고 남습니다
특히 슬림이라 가볍기 때문에
손목에 무리가 안가고 사용하기
엄청편합니다
생활기스 존재하고, 직거래하면서 작동상태확인후
거래하시기 바랍니다

중고 특성상 거래후 교환,환불
안됩니다"
청소기,다이슨 청소기,차이슨 무선 청소기 BLDC 가벼운 핸디 스틱 고급 미개봉 새상품 팝니다 동작,거래중,"75,000원",신길제5동,2026-06-02,6,13,124,43.4℃,돈스탑,생활가전,목동힐스테이트 동문,"다이슨 무선 청소기입니다
사진에서 보이는 구성품 그대로 드려요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
자취생이나 신혼부부에게 선물하기 좋은 아이템이에요"
청소기,다이슨 청소기,다이슨 v12서브마린 물걸레 청소기 헤드 동작,거래중,"40,000원",신길제5동,2026-08-06,0,3,95,47℃,돈추,생활가전,망원역 근처 도보5분 직거래 가능합니다 중고거래특성상 환불불가합니다 사실분만 연락주세요,"다이슨 서브마린 물걸레 청소기 헤드에요
사진에서 보이는 것처럼 구성품 모두 포함되어 있어요
물걸레 청소 기능이 있어 바닥을 깨끗하게 관리할 수 있어요 스팀청소기가 있어 사용안하게되어 판매합니다 
미사용이고 호환여부 확인하시고 구매바랍니다 "
청소기,다이슨 청소기,다이슨 V10 앱솔루트 무선청소기 + 거치대 (밧데리방전) 구로,거래완료,"50,000원",도림동,2026-08-24,5,2,101,44.3℃,부항,생활가전,목동종합사회복지관 앞으로 오시면 직거래 가능 합니다.,"-다이슨 V10 앱솔루트 무선청소기
-직구 (110->220 변환 사용함 )
-거치대+ 다른틀(연속 작동 고정핀 포함)
-사용감 있음 

  밧데리 사서 저렴하게  사용하고싶은분들  
   구매바랍니다"
청소기,다이슨 청소기,다이슨 V6 베이비+차일드 청소기 동작,거래완료,"30,000원",신길제5동,2026-08-24,2,2,152,46.9℃,제이슨,생활가전,남부순환로194길 30,"다이슨 V6 베이비+차일드 무선 청소기입니다
사진에 보이는 구성품 그대로 드려요
가볍고 강력한 흡입력으로 집안 곳곳 깨끗하게 청소할 수 있어요
중국 배터리 갈이 했어요"
청소기,다이슨 청소기,다이슨 v10 sv12 무선 청소기 관악,거래중,"160,000원",신길제1동,2026-06-02,0,3,1060,99℃,큰둥이,생활가전,직거래 관악구 봉천동 구암고등학교 인근에서 합니다.,"다이슨 v10 sv12 무선 청소기
어댑터 포함 사진 구성입니다.
잘 작동합니다.
봉 연결부 약간 흔들림 있어요.
외관상태 사진으로 확인해주세요.

직거래 관악구 봉천동 구암고등학교 인근에서 합니다.
택배시 배송비 7천원 추가 됩니다.
단 전자제품이라 파손면책 동의하에만 접수 가능합니다. 원박스 없고 파손시 반품이나 환불 불가하니 가급적 직거래합니다.
채팅 주세요."
청소기,다이슨 청소기,다이슨청소기 콤비네이션 노즐/ 틈새 노즐(미사용) 영등포 문래동3가,거래완료,"9,000원",여의동,2026-08-19,1,1,36,51.4℃,폴리,생활가전,신대방삼거리역 5번출구앞," 다이슨청소기 액세서리
 좁은 공간과 가구 틈새를 청소하기 위한 콤비네이션 노즐(왼쪽)과 크레비스 툴 / 틈새 노즐(오른쪽)

 V7, V8, V10, V11, V15 및 디지털 슬림 등 다이슨 무선청소기 라인업에서 공통으로 호환되는 정품 툴입니다.

콤비네이션 노즐 (왼쪽): 버튼을 눌러 브러시를 내리면 가구 표면의 먼지를 쓸면서 흡입할 수 있고, 브러시를 밀어 넣으면 일반 넓은 노즐로 전환됩니다.

크레비스 툴 (오른쪽): 길고 좁은 형태로 창틀, 소파 사이, 모서리 등 손이 닿지 않는 좁은 틈새를 청소합니다

두개 1만원
하나씩사면 
콤비네이션 8천원
크레바스 7천원"
청소기,다이슨 청소기,다이슨 청소기 툴 악세사리 4개 영등포 문래동3가,거래중,"22,000원",여의동,2026-08-07,2,7,130,51.4℃,폴리,생활가전,남부순환로194길 30,"다이슨 무선청소기(V7, V8, V10, V11, V15 등)에 호환 및 제공되는 주요 청소용 툴 및 액세서리 모음입니다.  
4개 3만원

1번
업-탑 어댑터 (Up-top adapter) / 연장 툴: 각도를 꺾어서 가구 위나 높은 곳, 선반 위를 청소

2번
크레비스 툴 틈새 노즐: 좁은 틈새, 모서리, 창틀 사이를 청소
3번
콤비네이션 노즐.  브러시가 달려 있어, 버튼을 밀어내며 일반 흡입과 브러시 청소를 전환할 수 있습니다.

4번
와이드  / 매트리스 툴 : 패브릭 소파, 매트리스, 쿠션 등의 넓은 면적 먼지 정리

"
청소기,다이슨 청소기,[새상품/미개봉] 다이슨 스팟앤스크럽 Ai 로봇청소기 동작,거래중,"880,000원",신길제5동,2026-07-02,4,31,518,45.7℃,Carot,생활가전,"구매 후 환불 어려우니, 직거래 시 꼼꼼히 확인 부탁드립니다.","다이슨 공식몰에서 받은 로봇청소기를 선물로 받았는데 집이 좁아서 팝니다!

박스 무게가 20kg 정도 되어 여자 혼자서 들고가기엔 많이 무거우니 참고 부탁드립니다;;

이수역 14번출구에서 거래 가능합니다~

*택배거래 불가합니다.
*구매 후 환불 어려우니, 직거래 시 꼼꼼히 확인 부탁드립니다.
*거래가능 시간: 주말 아무때나 / 평일 오후 5시 이후
*당근페이 좋습니다!"
청소기,다이슨 청소기,다이슨 V11 컴플리트 퍼플 무선청소기(필독요망) 관악,거래완료,"70,000원",신길제1동,2026-08-21,5,3,128,53.3℃,왕초,생활가전,<직거래>,"(아래 문제점 꼭 읽어보시고 연락 주세요)

다이슨 V11 컴플리트 퍼플 무선청소기 판매해요.
사진에 보이는 구성품 모두 포함되어 있어요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
바쁜 일상 속 청소 시간을 단축시켜 줄 똑똑한 청소기랍니다. 
충전기는 있는데 배터리는 완전 방전된 상태 입니다.
배터리는 분리형 입니다.

(문제점)
1. 배터리 완전방전 상태(미작동상태)
2. 먼지통과 봉 연결부위 빨강고정캡이 자꾸 빠짐
3. 롤러는 1개 + 틈새 먼지체거기 1개
4. 오랬동안 방치로 청소필요

중고거래 특성상 환불이나 반품은 불가하오니 신중하게 판단하시고 구매 부탁 드립니다.

"
